	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
310	2022-01-05	1	D2	1	26	tube_tip	0.039447576	0.9963693	0.8240623	1.0	0.8512437	None	0.837653	0.99818465
311	2022-01-05	1	D2	1	26	tube_tip	0.03937508	0.00020162284	0.06346682	0.002605659	0.08980651	None	0.07663666	0.00140364
314	2022-01-05	1	D2	1	26	tube_tip	0.038538586	0.00038080628	0.77062243	0.001993584	0.79654056	None	0.7835815	0.0011872
315	2022-01-05	1	D2	1	26	tube_tip	0.03838694	0.9963814	0.9298464	1.0	0.956457	None	0.9431517	0.9981907
316	2022-01-05	1	D2	1	26	tube_tip	0.038281787	7.219764e-05	0.57491297	0.0023202146	0.6016056	None	0.58825928	0.00119621
317	2022-01-05	1	D2	1	26	tube_tip	0.038139507	0.99634236	0.73821896	1.0	0.7651215	None	0.75167023	0.99817118
319	2022-01-05	1	D2	1	26	tube_tip	0.038090255	0.0	0.3992663	0.0024579335	0.4256268	None	0.41244655	0.00122897
323	2022-01-05	1	D2	1	26	tube_tip	0.03726816	0.99636745	0.70662224	1.0	0.73429763	None	0.72045994	0.99818373
327	2022-01-05	1	D2	1	26	tube_tip	0.036162756	0.64781946	0.00020977657	0.6763157	0.0028165067	None	0.00151314	0.66206758
328	2022-01-05	1	D2	1	26	tube_tip	0.036149926	0.9963267	0.7771264	1.0	0.80427486	None	0.79070063	0.99816335
331	2022-01-05	1	D2	1	26	tube_tip	0.035755534	0.0	0.28236657	0.002438581	0.3080818	None	0.29522419	0.00121929
332	2022-01-05	1	D2	1	26	tube_tip	0.03574209	0.0004200607	0.6919386	0.0019014964	0.7189774	None	0.705458	0.00116078
334	2022-01-05	1	D2	1	26	tube_tip	0.03570599	0.81640494	0.00022570929	0.8437406	0.0028258786	None	0.00152579	0.83007277
335	2022-01-05	1	D2	1	26	tube_tip	0.035395473	0.9963894	0.5426746	1.0	0.5702031	None	0.55643885	0.9981947
336	2022-01-05	1	D2	1	26	tube_tip	0.035369083	0.23570804	0.7551216	0.26562247	0.7796606	None	0.7673911	0.25066526
341	2022-01-05	1	D2	1	26	tube_tip	0.034421124	0.0	0.19586125	0.002555442	0.22275746	None	0.20930935	0.00127772
342	2022-01-05	1	D2	1	26	tube_tip	0.034192942	0.0	0.21555944	0.0024141236	0.24213187	None	0.22884565	0.00120706
344	2022-01-05	1	D2	1	26	tube_tip	0.03401542	0.99652976	0.121101476	1.0	0.14794028	None	0.13452088	0.99826488
